date,symbol,quantity,activityType,unitPrice,amount,currency,fee,comment
2026-02-09,002602.SZ,600,ADD_HOLDING,7.282,4369.20,CNY,0,Imported from screenshot batch 1
2026-02-09,002352.SZ,200,ADD_HOLDING,56.725,11345.00,CNY,0,Imported from screenshot batch 1
2026-02-09,600703.SH,200,ADD_HOLDING,22.778,4555.60,CNY,0,Imported from screenshot batch 1
2026-02-09,600223.SH,400,ADD_HOLDING,8.883,3553.20,CNY,0,Imported from screenshot batch 1
2026-02-09,000031.SZ,400,ADD_HOLDING,7.021,2808.40,CNY,0,Imported from screenshot batch 1
2026-02-09,000656.SZ,600,ADD_HOLDING,6.110,3666.00,CNY,0,Imported from screenshot batch 1
2026-02-09,510500.SH,100,ADD_HOLDING,6.087,608.70,CNY,0,Imported from screenshot batch 1
2026-02-09,510300.SH,100,ADD_HOLDING,3.919,391.90,CNY,0,Imported from screenshot batch 1
2026-02-09,510050.SH,100,ADD_HOLDING,2.712,271.20,CNY,0,Imported from screenshot batch 1
